Episode,Total_Reward,Cumulative_Reward,Epsilon,Learning_Rate,Gamma,Batch_Size,Epsilon_Decay,Steps_Per_Episode,ON_Percent,OFF_Percent
41,26.525602138233037,716.7561785520925,1.410139620092056e-18,0.001,0.99,64,0.995,200,10.5,89.5
42,52.23330551310534,768.9894840651974,5.174617633187462e-19,0.001,0.99,64,0.995,200,10.0,90.0
43,43.99814404986097,812.987628115058,1.8988664149402843e-19,0.001,0.99,64,0.995,200,22.0,78.0
44,40.3258111515726,853.3134392666303,6.968038833754627e-20,0.001,0.99,64,0.995,200,22.5,77.5
45,57.69503926293123,911.0084785295625,2.5569763521379393e-20,0.001,0.99,64,0.995,200,10.5,89.5
46,31.067906398890383,942.076384928453,9.383024723858578e-21,0.001,0.99,64,0.995,200,11.5,88.5
47,32.00671950716789,974.0831044356212,3.4431743138699105e-21,0.001,0.99,64,0.995,200,22.0,78.0
48,41.159027125613214,1015.2421315612341,1.2634997460411925e-21,0.001,0.99,64,0.995,200,9.5,90.5
49,30.692145143143044,1045.9342767043775,4.636511145588412e-22,0.001,0.99,64,0.995,200,16.0,84.0
50,25.96274418099108,1071.897020885369,1.7014040303942196e-22,0.001,0.99,64,0.995,200,16.5,83.5
51,74.34957123315696,1146.24659211852,6.24343516869584e-23,0.001,0.99,64,0.995,200,10.5,89.5
52,58.05483531088453,1204.301427429405,2.2910773695931673e-23,0.001,0.99,64,0.995,200,14.000000000000002,86.0
53,58.67999999999986,1262.9814274293894,8.407287609520256e-24,0.001,0.99,64,0.995,200,21.0,79.0
54,10.145675407582324,1273.12710283697,3.08511994781495e-24,0.001,0.99,64,0.995,200,10.0,90.0
55,41.221256260914195,1314.348359097884,1.1321088958141194e-24,0.001,0.99,64,0.995,200,26.0,74.0
56,47.31267851660934,1361.6610376144922,4.154362143647653e-25,0.001,0.99,64,0.995,200,11.0,89.0
57,34.841310550045435,1396.502348164538,1.524475682894593e-25,0.001,0.99,64,0.995,200,12.0,88.0
58,43.54170022447556,1440.0440483890131,5.594182758695109e-26,0.001,0.99,64,0.995,200,20.0,80.0
59,38.47190351439717,1478.515951903411,2.0528291194688382e-26,0.001,0.99,64,0.995,200,20.5,79.5
60,22.531588338238883,1501.0475402416496,7.53301702056331e-27,0.001,0.99,64,0.995,200,20.0,80.0
61,14.512694108062096,1515.5602343497114,2.764299516892055e-27,0.001,0.99,64,0.995,200,26.5,73.5
62,5.187103142105937,1520.7473374918175,1.0143813293174033e-27,0.001,0.99,64,0.995,200,20.0,80.0
63,10.687952625898772,1531.4352901177165,3.7223516300600806e-28,0.001,0.99,64,0.995,200,16.5,83.5
64,28.93685945097124,1560.3721495686877,1.365946045865694e-28,0.001,0.99,64,0.995,200,26.0,74.0
65,18.391584249301804,1578.7637338179911,5.012445855863467e-29,0.001,0.99,64,0.995,200,15.0,85.0
66,43.05613159291007,1621.819865410902,1.8393562127880112e-29,0.001,0.99,64,0.995,200,15.5,84.5
67,66.31999999999984,1688.1398654108866,6.74966149223181e-30,0.001,0.99,64,0.995,200,15.0,85.0
68,61.35999999999984,1749.4998654108708,2.4768410785783737e-30,0.001,0.99,64,0.995,200,24.0,76.0
69,58.95999999999985,1808.4598654108552,9.088962069570092e-31,0.001,0.99,64,0.995,200,23.5,76.5
70,76.2990404855992,1884.7589058964509,3.3352657228011946e-31,0.001,0.99,64,0.995,200,10.0,90.0
71,-3.8257326742164555,1880.9331732222342,1.2239018445170778e-31,0.001,0.99,64,0.995,200,16.5,83.5
72,35.78969022325351,1916.7228634454887,4.491203548706252e-32,0.001,0.99,64,0.995,200,12.5,87.5
73,25.522152766389986,1942.2450162118787,1.6480822711620782e-32,0.001,0.99,64,0.995,200,20.5,79.5
74,42.768817571631445,1985.0138337835108,6.0477668025114975e-33,0.001,0.99,64,0.995,200,24.5,75.5
75,27.099929732141998,2012.1137635156538,2.219275332157446e-33,0.001,0.99,64,0.995,200,13.5,86.5
76,65.59999999999984,2077.7137635156564,8.143804416991118e-34,0.001,0.99,64,0.995,200,15.5,84.5
77,3.4496348951957296,2081.1633984108507,2.988432729423e-34,0.001,0.99,64,0.995,200,18.0,82.0
78,37.87979075560967,2119.04318916646,1.0966287647642474e-34,0.001,0.99,64,0.995,200,21.0,79.0
79,49.160648405767645,2168.2038375722286,4.024165027601454e-35,0.001,0.99,64,0.995,200,20.5,79.5
80,63.479999999999826,2231.6838375722464,1.476698832795249e-35,0.001,0.99,64,0.995,200,26.0,74.0
81,62.79502029650537,2294.4788578687544,5.41886187028118e-36,0.001,0.99,64,0.995,200,8.5,91.5
82,33.8182438892046,2328.2971017579584,1.988493748153366e-36,0.001,0.99,64,0.995,200,21.0,79.0
83,35.16844340628595,2363.4655451642443,7.296933343384613e-37,0.001,0.99,64,0.995,200,22.0,78.0
84,51.54235530563691,2415.0079004698796,2.6776667649694568e-37,0.001,0.99,64,0.995,200,11.0,89.0
85,29.003095125694475,2444.0109955955745,9.825907633817453e-38,0.001,0.99,64,0.995,200,20.0,80.0
86,54.68082475390771,2498.6918203494897,3.605693661788172e-38,0.001,0.99,64,0.995,200,23.5,76.5
87,25.96642294431621,2524.658243293803,1.3231374919416345e-38,0.001,0.99,64,0.995,200,13.0,87.0
88,54.34065015802816,2578.998893451841,4.8553565188712594e-39,0.001,0.99,64,0.995,200,16.5,83.5
89,26.199221376965962,2605.1981148288046,1.7817110518689417e-39,0.001,0.99,64,0.995,200,16.0,84.0
90,31.58629870602523,2636.7844135348273,6.538128065392648e-40,0.001,0.99,64,0.995,200,15.5,84.5
91,34.7468712361338,2671.5312847709606,2.399217233043207e-40,0.001,0.99,64,0.995,200,16.5,83.5
92,22.44999198045351,2693.9812767514136,8.804115296854162e-41,0.001,0.99,64,0.995,200,26.5,73.5
93,23.406682366787887,2717.3879591182003,3.2307389715596304e-41,0.001,0.99,64,0.995,200,20.0,80.0
94,32.678073271522216,2750.0660323897237,1.1855449355693592e-41,0.001,0.99,64,0.995,200,12.0,88.0
95,34.15577550628947,2784.2218078960145,4.3504498711502124e-42,0.001,0.99,64,0.995,200,23.0,77.0
96,1.0991568062999995,2785.3209647023155,1.5964316082461663e-42,0.001,0.99,64,0.995,200,12.0,88.0
97,22.310666890673446,2807.631631592988,5.858230654968151e-43,0.001,0.99,64,0.995,200,23.5,76.5
98,59.45478863898453,2867.0864202319744,2.1497235603165683e-43,0.001,0.99,64,0.995,200,11.5,88.5
99,23.551666948967544,2890.6380871809392,7.888578750071887e-44,0.001,0.99,64,0.995,200,17.0,83.0
100,56.42553439631634,2947.0636215772633,2.894775674641707e-44,0.001,0.99,64,0.995,200,14.000000000000002,86.0
101,29.91583045420261,2976.979452031467,1.0622605759524155e-44,0.001,0.99,64,0.995,200,25.5,74.5
102,60.239999999999846,3037.219452031487,3.898048270570818e-45,0.001,0.99,64,0.995,200,22.0,78.0
103,54.94729076063177,3092.1667427921266,1.4304193023521197e-45,0.001,0.99,64,0.995,200,23.5,76.5
104,59.599999999999845,3151.766742792143,5.249035513461965e-46,0.001,0.99,64,0.995,200,25.5,74.5
105,38.909017177299646,3190.6757599694424,1.926174638183298e-46,0.001,0.99,64,0.995,200,11.0,89.0
106,76.19999999999983,3266.8757599694627,7.068248494919315e-47,0.001,0.99,64,0.995,200,8.0,92.0
107,58.519999999999854,3325.3957599694822,2.59374907111485e-47,0.001,0.99,64,0.995,200,22.5,77.5
108,35.24448399308441,3360.6402439625663,9.51796509240576e-48,0.001,0.99,64,0.995,200,11.0,89.0
109,30.049419906051654,3390.6896638686153,3.4926917375749105e-48,0.001,0.99,64,0.995,200,10.5,89.5
110,32.457167426586935,3423.1468312952006,1.2816705519814727e-48,0.001,0.99,64,0.995,200,21.5,78.5
111,13.44572506659113,3436.592556361793,4.703190339256952e-49,0.001,0.99,64,0.995,200,16.5,83.5
112,73.99999999999982,3510.5925563618157,1.725872482057282e-49,0.001,0.99,64,0.995,200,11.5,88.5
113,31.96829768318739,3542.560854045005,6.333224065928739e-50,0.001,0.99,64,0.995,200,21.5,78.5
114,43.57767541921855,3586.1385294642237,2.3240261077369506e-50,0.001,0.99,64,0.995,200,19.5,80.5
115,60.60736053973978,3646.745890003972,8.528195581298939e-51,0.001,0.99,64,0.995,200,12.0,88.0
116,0.3857519888166472,3647.131641992789,3.1294880737681827e-51,0.001,0.99,64,0.995,200,16.5,83.5
117,34.00731299936812,3681.1389549921587,1.1483901266679899e-51,0.001,0.99,64,0.995,200,19.0,81.0
118,55.64750136937371,3736.7864563615312,4.2141073937392284e-52,0.001,0.99,64,0.995,200,10.5,89.5
